time,channel,trace_index,temperature,mean_baseline,std_baseline,mean,std,A,rise_time,TF_ampl,TF_chi2,TF_baseline,baseline_slope,baseline_offset,time_shift,OF_ampl_0,OF_chi2_0,OF_time_0,OF_ampl_1,OF_chi2_1,OF_time_1
295986,0,1,32750.8,128.9645,5.50551902639524,4929.440704345703,2810.4642365738587,10407.0355,2.636799925426203e-05,10396.67198434096,2.4141655163930786,126.44181877439405,7.51125046945803e-06,128.9494812546864,4035,10397.780433668111,1.0449522118259391,0,10397.53989154935,1.0341975022661507,0
401300,0,2,32750.3,131.3575,5.545736538098434,4938.067901611328,2815.1631714489113,10422.6425,2.636799925426203e-05,10414.060398546742,2.1125634312908246,127.00499995770952,0.00038196208637259236,130.59376680829803,4035,10414.113627890267,1.002754020923217,0,10413.849929161504,1.0137084850556304,0
866004,0,3,32751.0,132.403,5.674732680928678,4972.183898925781,2834.4661797208796,10494.597,2.636799925426203e-05,10485.467894083791,2.059302422832324,128.04136205208488,6.58245041140439e-05,132.2713839040239,4035,10486.127284146562,1.0066455816171882,0,10485.868009668176,1.011747197194435,0
1039604,0,4,32749.6,128.61825,5.414195871733862,4926.211944580078,2810.3253190831374,10404.38175,2.636799925426203e-05,10396.162533708044,2.23182462912691,123.53946566281229,0.0001717694169855565,128.27479705073736,4035,10395.720698186518,1.0199116375018757,0,10395.47048643259,1.0184202439383128,0
1539099,0,5,32750.1,128.21525,5.568340635907614,5385.163299560547,3079.9399179181,11405.78475,2.636799925426203e-05,11393.542423675295,2.307638624167486,122.10061060263615,0.0001560722910044326,127.90318345413667,4035,11396.751305736976,1.0031029428373301,0,11396.469960785907,1.0086640988955282,0
1908070,0,6,32751.1,129.524,5.322680151953525,4933.852478027344,2813.682600495829,10424.476,2.636799925426203e-05,10408.583418473303,2.203385899278121,125.53995838970877,-0.0001677136979821053,129.85934353911523,4035,10409.400144905621,1.0024343396505797,0,10409.130255141097,1.0193996036335755,0
2521130,0,7,32749.0,129.12575,5.581974286710751,4926.404235839844,2809.697712958587,10402.87425,2.636799925426203e-05,10393.84137554849,2.1325977988407367,124.6350655717979,0.0008009138938071405,127.52432266933269,4035,10393.452582001466,0.9999662989842938,0,10393.176736850006,1.0229468163650186,0
2707494,0,8,32749.7,129.00675,5.539693532813887,4929.371520996094,2811.647486892482,10410.99325,2.636799925426203e-05,10401.048253114823,2.442340025610516,124.31905312667004,0.0006417942588621316,127.72348237940521,4034,10400.774113938502,1.0374549347944824,0,10400.476108908804,1.0814076825091379,0
2748882,0,9,32749.6,129.96475,5.495043897686351,4931.957977294922,2812.6211441310484,10415.03525,2.6623999247021857e-05,10404.656053946943,2.16581871839808,125.28535703686794,7.943428621462311e-05,129.80592114471392,4035,10404.854213291253,0.9882244362454853,0,10404.575209001812,1.013979615911142,0
2784779,0,10,32749.9,131.5315,5.589633954920484,4929.756042480469,2810.5525537957506,10409.4685,2.6623999247021857e-05,10397.003377397596,2.144216781069222,126.52012227773594,0.0004361664647603325,130.65938515371172,4035,10397.447523150107,0.9992729648852213,0,10397.169770507098,1.0239879462740866,0
3897714,0,11,32749.4,130.07025,5.683512552770513,4932.295501708984,2812.557063611957,10410.92975,2.636799925426203e-05,10404.419681018146,2.057796674335585,125.54348592613678,-0.000332811302050727,130.73570619845037,4035,10405.391539037933,0.9953608595074471,0,10405.119729241285,1.014243371815157,0
3988447,0,12,32754.2,129.5835,5.4894469439097415,5385.7230224609375,3079.5213078659376,11403.4165,2.6111999261502206e-05,11391.995376211664,2.2619193911152373,123.45310467001764,0.0001286437580402541,129.32627680579853,4035,11396.065840166662,0.9996154166356495,0,11395.79858446054,0.9904769070517891,0
4024179,0,13,32752.5,132.969,5.51203583079791,4939.4814453125,2815.206034521559,10434.031,2.636799925426203e-05,10414.219863747247,2.081006993343453,128.37865993044034,-3.6127502257990665e-05,133.04123694076497,4035,10414.845111263232,0.974585554781199,0,10414.58352904809,0.9835034629469541,0
4038146,0,14,32752.7,131.103,5.3110160044948085,4940.687927246094,2815.9900836160064,10434.897,2.6623999247021857e-05,10417.118539929463,2.25877017196661,128.4485817631321,0.00024409351525583918,130.614935016246,4035,10418.750258088165,1.0024155281620104,0,10418.474791146089,1.0245057172859093,0
4087165,0,15,32750.3,135.7755,5.52495246585887,4931.818756103516,2810.953718124509,10405.2245,2.6623999247021857e-05,10398.486995559804,2.191339614401286,127.96290905533533,-0.0005155882822242927,136.80641877030752,4035,10398.31348288741,1.0125713764125885,0,10398.039052397664,1.0341021538186421,0
4131582,0,16,32750.1,130.315,5.592921866073224,4931.556854248047,2811.3582203001342,10408.685,2.636799925426203e-05,10399.981735323694,2.2418340374963974,126.94329745650975,0.000407838587989919,129.49952674331416,4035,10400.60485848683,1.0258580944222029,0,10400.360690170217,1.0184920777886268,0
4365616,0,17,32751.3,131.36025,5.671461005552273,5386.518707275391,3079.422489284139,11404.63975,2.636799925426203e-05,11391.629884896473,2.1787452713904916,124.23542960012492,-1.631221976954704e-05,131.39286628342916,4035,11394.458981267391,1.030647847361452,0,11394.2069713692,1.0056287562360346,0
6052377,0,18,32749.0,135.402,5.676565510940573,4941.718841552734,2816.2634314770826,10428.598,2.636799925426203e-05,10418.128522896292,2.1590627147582078,128.6478948699587,0.0005569927848120122,134.28829292676843,4035,10417.490889613058,1.0201335989758769,0,10417.24905814595,1.0101338084335767,0
6827859,0,19,32749.5,133.51175,5.557999814456636,4928.367492675781,2808.613679153114,10401.48825,2.636799925426203e-05,10389.832048979944,2.1016223272398893,128.472380988238,0.0006831961364497321,132.14569932516878,4035,10389.848595398824,0.9997994783418284,0,10389.59253330664,1.0040156682279602,0
6862759,0,20,32749.8,133.4285,5.445997406352669,4940.4879150390625,2815.2967660003965,10420.5715,2.6623999247021857e-05,10414.554805176158,2.1433380056962075,129.2966109995432,0.00012644007040248312,133.17568307923028,4035,10414.50956724234,0.9967334704250889,0,10414.234985296522,1.018067923173293,0
6923675,0,21,32749.4,132.715,5.835946795507993,5387.9945068359375,3079.7911291416735,11410.285,2.636799925426203e-05,11392.989014312632,2.3369761443520276,124.91957975834885,0.0006897116681069775,131.33592151962011,4036,11396.28931832355,1.097596706635261,0,11396.05807455866,1.050835906743443,0
6938597,0,22,32750.0,132.7285,5.668226155509323,4938.311706542969,2815.340465505645,10424.2715,2.636799925426203e-05,10414.714203553267,2.1624640345764585,126.824620153875,0.00010573050660817713,132.517091852037,4035,10414.28183891878,1.0307646835171564,0,10414.036735148344,1.0239657234410289,0
7388669,0,23,32751.5,132.423,5.604156582394892,4934.817535400391,2812.9052261679053,10412.577,2.636799925426203e-05,10405.708441317252,2.048933980949703,127.55018345996359,-0.0003028674564292336,133.0285834791302,4035,10405.525608760403,0.978508008678434,0,10405.265196943594,0.9865169503308183,0
7484809,0,24,32751.2,128.872,5.59433785179265,4935.863128662109,2814.4936804369636,10429.128,2.636799925426203e-05,10411.582597819703,2.1496825044327745,125.89499470456212,0.00022140432633773553,128.42930204948766,4035,10413.388134601362,1.001249656405909,0,10413.129847486176,1.0070549495937056,0
7685272,0,26,32751.3,131.84775,5.604424139686431,4939.553894042969,2815.2904435456144,10429.15225,2.6623999247021857e-05,10414.529394242505,2.177621078751305,128.2158890209903,-0.0003093582380848847,132.46631179705076,4034,10416.246311284309,1.0108565859465215,0,10415.963563503352,1.039950542245157,0
8222177,0,27,32751.4,128.45225,5.647186904778343,5327.018707275391,3045.538947623569,11274.54775,2.636799925426203e-05,11266.284472088046,2.208445006181543,122.59973052688292,0.0006170800698175359,127.21839840039983,4035,11268.77254601268,1.0450892224821469,0,11268.527799583277,1.0159879900601032,0
8690193,0,28,32752.5,132.86125,5.647388638786958,5386.082672119141,3079.899147488237,11406.13875,2.6111999261502206e-05,11393.389242952719,2.394464420697271,123.01161965253414,-0.0001402604150162796,133.14170069982507,4035,11396.000124543974,1.0045174583378842,0,11395.73370178333,0.9945106298651865,0
9341044,0,29,32750.6,127.648,5.492367067121425,4928.289459228516,2811.2957209116644,10405.352,2.636799925426203e-05,10399.75384163787,2.1209479860631575,123.88161766108169,0.00030523989407745347,127.0376728317922,4035,10399.695041730592,0.9986568296611625,0,10399.421932862591,1.0188987959306595,0
10000656,0,30,32751.1,128.3165,5.58890219542264,4926.607025146484,2810.277751603553,10408.6835,2.6623999247021857e-05,10395.986892532954,2.1402220263131584,123.84088866552338,0.0004132586508285896,127.49018932766832,4035,10396.178307652284,1.001798392383598,0,10395.926791036576,1.001539755991212,0
10156625,0,31,32749.2,128.122,5.502828000219523,4926.164947509766,2808.756133493888,10408.878,2.636799925426203e-05,10390.35443829386,2.354046390050864,126.0839536461026,8.421919276372184e-05,127.953603724069,4034,10393.092562583814,1.0249500273212018,0,10392.803941017733,1.060108862243816,0
12326145,0,32,32752.4,128.34975,5.5109822116842295,4936.911102294922,2815.94944586697,10430.65025,2.636799925426203e-05,10416.968891945013,2.1348508422460144,124.54084493425398,0.00019484860592808845,127.96015021244683,4035,10418.024985288775,0.992169970762582,0,10417.769271768517,0.9954131210640892,0
12498662,0,33,32751.8,128.147,5.4437478817447085,4934.414031982422,2815.8768742467423,10425.853,2.636799925426203e-05,10416.700873573722,2.140187120757072,122.23468471642627,0.00019921313745086854,127.74867333166695,4035,10416.826324915153,1.0184950116965634,0,10416.570144449726,1.0222113354206959,0
13076178,0,34,32751.9,130.52725,5.515546884715966,4935.121826171875,2814.289548831601,10423.47275,2.6623999247021857e-05,10410.828883411938,2.111350523376159,125.58028100334195,0.00021698898231180863,130.09338052986763,4035,10411.255321602117,0.9890832578692762,0,10410.978562366867,1.0125639661569004,0
13264007,0,35,32750.8,132.59525,5.464698293364419,4928.872375488281,2810.3323280378636,10406.40475,2.636799925426203e-05,10396.185962748728,2.3363229103088203,126.13858293330486,0.0001578471661154424,132.27963459135213,4034,10395.325578717295,1.0255036896429734,0,10395.041341953416,1.056440692466599,0
13348490,0,36,32752.3,128.47175,5.636994051575715,4936.642181396484,2816.3898950069993,10430.52825,2.636799925426203e-05,10418.595310534998,2.2251228578942603,123.395409303419,-0.00022761254547574362,128.92686128467886,4035,10418.728061220716,1.012579511687126,0,10418.441198498633,1.0455525607891167,0
13669720,0,37,32752.2,129.8765,5.537124501941418,4935.712982177734,2814.910124956815,10426.1235,2.636799925426203e-05,10413.124669972796,2.0979666671978308,125.09047992772685,0.00012041850752620116,129.63572319420138,4035,10414.000195160164,0.9932330270313572,0,10413.72987512055,1.010510150424357,0
13681754,0,38,32752.4,133.658,5.53990397028685,4964.932800292969,2830.4239076200183,10485.342,2.636799925426203e-05,10470.51320101153,2.1691436631674175,127.8258620032866,0.00041948477621778154,132.81924018995255,4035,10470.61893056328,1.0216050358743944,0,10470.368940052944,1.0181496740742741,0
13812980,0,39,32750.1,132.33125,5.597546197888857,4937.369354248047,2814.2101274062406,10424.66875,2.636799925426203e-05,10410.531919112906,2.2325554578681683,127.88284248766286,-0.0005135960008497705,133.35818520369918,4035,10411.689143148256,1.0324718287770713,0,10411.445186899315,1.0246393969181888,0
13920745,0,40,32751.9,131.89975,5.433295495139207,4939.191131591797,2815.5272235963585,10426.10025,2.636799925426203e-05,10415.40508360331,2.264770370213157,127.62017264775932,-7.422047338875414e-05,132.04815383654085,4034,10416.190567626165,1.0022212307324219,0,10415.905573741566,1.0334607127019062,0
14090886,0,41,32751.2,128.182,5.6348359337251335,4935.371246337891,2815.841502740225,10427.818,2.636799925426203e-05,10416.567445943521,2.187792373718519,123.06238054637288,-6.282394142648445e-05,128.30761647088232,4034,10416.848098626475,1.0123640162711003,0,10416.562433810705,1.044230854980407,0
14734796,0,42,32749.7,130.14225,5.607540899315849,4938.4241943359375,2815.1245454746354,10427.85775,2.6623999247021857e-05,10413.915855656076,2.1682472421068133,127.36618693005948,0.00034460430278776815,129.45321369657592,4035,10415.283553869065,1.0033546914378635,0,10415.00269895913,1.030661219720627,0
14975602,0,43,32749.2,129.9425,5.551413671309318,4938.366241455078,2815.4890811120354,10431.0575,2.636799925426203e-05,10415.265167774993,2.153024649770791,126.74172780857043,0.0008083382380211939,128.32622769307662,4035,10416.380637312268,1.004853724298231,0,10416.10946423141,1.0228941824576185,0
15165097,0,44,32749.4,134.5645,5.533293752368475,4934.717620849609,2812.0685784896777,10411.4355,2.636799925426203e-05,10402.612554629304,2.119890301013311,128.94971348838226,0.0005957959122372649,133.37320607348158,4035,10401.830298133244,1.0027743973338632,0,10401.56196954369,1.0184136902124303,0
15179448,0,45,32749.2,131.461,5.458981498411586,5386.519989013672,3078.915477809987,11402.539,2.6111999261502206e-05,11389.753744206115,2.3034821088394093,125.3149267781846,-0.0002406174525386042,131.94211459635093,4035,11393.760756963144,1.015239820839328,0,11393.492322820095,1.007392128733374,0
15600610,0,46,32750.2,129.786,5.702473498404004,4930.458801269531,2812.2399123902555,10413.214,2.636799925426203e-05,10403.246568255254,2.0450872884070033,124.22915167983592,0.0006333082895817871,128.51970007498127,4035,10403.716693233628,0.9985101816682656,0,10403.454692125099,1.0080750171611985,0
16328579,0,47,32750.1,128.0745,5.558277588426113,5375.845001220703,3075.2653613993207,11387.9255,2.636799925426203e-05,11376.249021324504,2.3587614157141017,120.77233112573595,-0.00014547694659227355,128.36538115471126,4035,11379.441551615722,1.0102163810495097,0,11379.164698568347,1.0115212587421283,0
16569936,0,48,32749.7,129.06625,5.5859521066242595,4934.461212158203,2814.1685646324427,10420.93375,2.636799925426203e-05,10410.379808113252,2.1576172259765984,125.05648536486478,-7.235091077195115e-05,129.2109156460886,4035,10410.923527225288,1.0041074009814237,0,10410.645011205947,1.0292714128356812,0
17497470,0,49,32751.0,128.64975,5.3205803196174,5385.002960205078,3079.75453150506,11410.35025,2.6111999261502206e-05,11392.857687893738,2.3697643507017827,122.50399953616943,-2.180240761267136e-05,128.69334391402157,4035,11396.22983623055,1.0032375549150243,0,11395.961927934233,0.9947764267871532,0
18326840,0,50,32749.7,126.286,5.758576560227362,4862.5784912109375,2773.0923985674276,10268.714,2.636799925426203e-05,10258.417334071448,2.532099857448404,123.1234793315707,-7.726612982916153e-05,126.44049362659347,4034,10258.676521960579,1.0765836544069756,0,10258.371058359307,1.1301850030592187,0
18406303,0,51,32749.3,127.90425,5.677858921944082,4936.924499511719,2816.040512266113,10427.09575,2.6623999247021857e-05,10417.305447423849,2.084502133451798,124.23206356345327,0.0003735625545976665,127.15731167208195,4035,10416.997209355084,0.9969321183379605,0,10416.722956538048,1.017899892624391,0
